HUGO_symbol	transcript	gene_coordinate	assigned_peak
TMEM80	NM_174940.3	chr11:695590-704129:+	chr11:692992-698141
RECK	NM_001316347.1	chr9:36036909-36086281:+	chr9:36036375-36039237
ELOVL7	NM_001297617.1	chr5:60047615-60140101:-	chr5:60138459-60140917
USP49	NM_018561.4	chr6:41765382-41863099:-	chr6:41860726-41864319
C14orf93	NM_001130706.2	chr14:23456109-23479410:-	chr14:23475081-23477403
KIF13A	NM_001105568.2	chr6:17759413-17987854:-	chr6:17987963-17989757
ZMYM3	NM_201599.2	chrX:70459473-70474038:-	chrX:70471805-70475622
MIR5087	NR_049810.1	chr1:147806602-147806678:-	chr1:147805593-147807846
ARHGEF17	NM_014786.3	chr11:73019662-73080425:+	chr11:73017832-73021721
ADAT3	NM_001329533.1	chr19:1905212-1913446:+	chr19:1904682-1906528
SCAMP4	NM_001329539.1	chr19:1905212-1926016:+	chr19:1904682-1906528
ARID3A	NM_005224.2	chr19:926036-972816:+	chr19:923815-928236
CXCL16	NM_022059.3	chr17:4636823-4643223:-	chr17:4641471-4643680
ZMYND15	NM_032265.2	chr17:4643309-4649414:+	chr17:4641471-4643680
NCLN	NM_001321463.1	chr19:3185874-3209573:+	chr19:3184807-3189356
PEX10	NM_153818.1	chr1:2336240-2344010:-	chr1:2342858-2346364
SLC25A33	NM_032315.2	chr1:9599527-9642831:+	chr1:9599496-9602022
FAM127A	NM_001078171.1	chrX:134166332-134167576:+	chrX:134165646-134167931
URI1	NR_045557.1	chr19:30433145-30507519:+	chr19:30432499-30436271
IRF2BPL	NM_024496.3	chr14:77490885-77495042:-	chr14:77489237-77496270
AMN1	NM_001278412.1	chr12:31824070-31882108:-	chr12:31880333-31884146
PLSCR1	NM_021105.2	chr3:146232966-146262628:-	chr3:146257049-146263433
GTF2IRD2	NM_173537.3	chr7:74210482-74267872:-	chr7:74264906-74268536
DENND2C	NM_001256404.1	chr1:115127195-115212732:-	chr1:115211605-115213868
ZNF544	NM_001320780.1	chr19:58740046-58762521:+	chr19:58738639-58741976
DAP	NM_004394.2	chr5:10679341-10761387:-	chr5:10758533-10762230
PLCG1-AS1	NR_109889.1	chr20:39726633-39766640:-	chr20:39764844-39769334
PLCG1	NM_182811.1	chr20:39766160-39804357:+	chr20:39764844-39769334
FLJ42351	NR_033871.1	chr2:113399406-113401757:-	chr2:113401669-113409839
SLC20A1	NM_005415.4	chr2:113403433-113421402:+	chr2:113401669-113409839
TAF4B	NM_005640.2	chr18:23806846-23971649:+	chr18:23805552-23809428
IL27RA	NM_004843.3	chr19:14142551-14163731:+	chr19:14142101-14143970
GM2A	NM_001167607.1	chr5:150632612-150649955:+	chr5:150632505-150634557
CXCL3	NM_002090.2	chr4:74902305-74904490:-	chr4:74901800-74905641
KRI1	NM_023008.3	chr19:10663760-10676702:-	chr19:10675158-10680874
CDKN2D	NM_001800.3	chr19:10677137-10679631:-	chr19:10675158-10680874
LOC729609	NR_024440.1	chrX:20004934-20007897:-	chrX:20007705-20009291
PLP2	NM_002668.2	chrX:49028183-49031469:+	chrX:49027503-49029962
TSPO	NR_046308.1	chr22:43547519-43559248:+	chr22:43546981-43550398
IFI30	NM_006332.4	chr19:18284589-18288934:+	chr19:18284284-18286222
TSPAN12	NM_012338.3	chr7:120427373-120498177:-	chr7:120496146-120499204
LACTB	NM_001288585.1	chr15:63413998-63423670:+	chr15:63413468-63416767
SMURF2	NM_022739.3	chr17:62540734-62658386:-	chr17:62652817-62660299
FCHSD1	NM_033449.2	chr5:141018868-141030986:-	chr5:141029911-141031502
CXXC5	NM_001317201.1	chr5:139026883-139063470:+	chr5:139026600-139032864
SPTBN1	NM_178313.2	chr2:54785530-54889445:+	chr2:54784098-54790717
CCDC24	NM_152499.2	chr1:44457279-44462200:+	chr1:44456353-44458769
MAML2	NM_032427.3	chr11:95709756-96076344:-	chr11:96070657-96077037
MIR1260B	NR_036125.1	chr11:96074601-96074690:+	chr11:96070657-96077037
VAMP1	NM_199245.2	chr12:6571402-6580065:-	chr12:6577905-6580879
SLC22A4	NM_003059.2	chr5:131630144-131679899:+	chr5:131628102-131633269
IRF2BP1	NM_015649.2	chr19:46386864-46389428:-	chr19:46386929-46390799
ASRGL1	NM_025080.3	chr11:62104773-62160887:+	chr11:62104387-62106791
QSOX2	NM_181701.3	chr9:139098178-139137687:-	chr9:139135634-139137767
LEMD2	NM_001143944.1	chr6:33738989-33754719:-	chr6:33755063-33757654
EEA1	NM_003566.3	chr12:93166284-93323107:-	chr12:93319561-93324365
RPS6KA3	NM_004586.2	chrX:20168028-20284750:-	chrX:20281477-20286693
SKA1	NM_145060.3	chr18:47901391-47920538:+	chr18:47900551-47903130
STK24	NM_001032296.3	chr13:99102452-99229405:-	chr13:99225497-99229369
YY1	NM_003403.4	chr14:100705101-100745371:+	chr14:100702610-100710577
H6PD	NM_004285.3	chr1:9294862-9331396:+	chr1:9294045-9296286
SRSF10	NR_034035.2	chr1:24290836-24306953:-	chr1:24304406-24308191
KLHL42	NM_020782.1	chr12:27933186-27955973:+	chr12:27932179-27935366
PCYT2	NM_001330518.1	chr17:79858840-79869353:-	chr17:79867783-79869344
ZDHHC21	NM_178566.4	chr9:14611068-14693480:-	chr9:14691852-14694043
FZD6	NM_001164615.1	chr8:104310660-104345094:+	chr8:104309789-104313482
HDAC5	NM_001015053.1	chr17:42154120-42201014:-	chr17:42198925-42202180
RPGR	NM_000328.2	chrX:38128422-38186788:-	chrX:38184864-38187461
VSIG10L	NM_001163922.1	chr19:51834794-51845378:-	chr19:51841743-51844392
PGP	NM_001042371.2	chr16:2261602-2264822:-	chr16:2264967-2266778
LSS	NM_001001438.2	chr21:47608359-47648738:-	chr21:47645816-47650639
MCM3AP-AS1	NR_110566.1	chr21:47649144-47662913:+	chr21:47645816-47650639
SMA5	NR_034021.1	chr5:69776869-69881549:-	chr5:69878880-69883102
LSM11	NM_173491.3	chr5:157170702-157187717:+	chr5:157170142-157172343
JAK2	NM_001322195.1	chr9:4985085-5128183:+	chr9:4983582-4989114
ATP1A1	NM_000701.7	chr1:116915794-116947396:+	chr1:116914605-116922466
GNB1	NM_002074.4	chr1:1716723-1822556:-	chr1:1819304-1824170
SEMA4B	NM_001324029.1	chr15:90728151-90772892:+	chr15:90727021-90729506
LOC101928118	NR_125948.1	chr1:95628774-95699538:-	chr1:95697472-95700824
RWDD3	NM_001199682.1	chr1:95699710-95712781:+	chr1:95697472-95700824
SUSD6	NM_014734.3	chr14:70078309-70181861:+	chr14:70077151-70080706
RSPH1	NM_080860.3	chr21:43892595-43916464:-	chr21:43915397-43917428
LOC101930094	NR_135518.1	chr21:43916648-43917553:+	chr21:43915397-43917428
SLC37A1	NM_018964.3	chr21:43919741-44001550:+	chr21:43915397-43917428
RFXAP	NM_000538.3	chr13:37393338-37403740:+	chr13:37392399-37395974
SLC4A7	NM_001321103.1	chr3:27414211-27525911:-	chr3:27521331-27526831
LARP1B	NM_018078.3	chr4:128982420-129132298:+	chr4:128980975-128985015
RRBP1	NM_001042576.1	chr20:17594322-17662928:-	chr20:17660079-17663895
C4orf48	NM_001168243.1	chr4:2043719-2045697:+	chr4:2042345-2044908
TMEM139	NR_104251.1	chr7:142981991-142985142:+	chr7:142981467-142988080
LOC105375545	NR_133932.1	chr7:142952391-142983427:-	chr7:142981467-142988080
CASP2	NM_032983.3	chr7:142985307-143004789:+	chr7:142981467-142988080
DNASE1L1	NM_006730.3	chrX:153629576-153637614:-	chrX:153638898-153641118
TAZ	NM_181313.3	chrX:153639853-153650065:+	chrX:153638898-153641118
TRAPPC10	NM_003274.4	chr21:45432205-45526433:+	chr21:45430906-45434851
DCBLD1	NM_173674.2	chr6:117803766-117891021:+	chr6:117802559-117806941
DLGAP1-AS2	NR_119377.1	chr18:3603734-3610087:+	chr18:3602030-3608433
C3orf52	NM_024616.2	chr3:111805181-111837044:+	chr3:111804600-111807110
ZNF140	NM_001300776.1	chr12:133656788-133684260:+	chr12:133655618-133658717
RAB4A	NM_001271998.1	chr1:229406808-229441641:+	chr1:229405809-229408834
MAN2B2	NM_001292038.1	chr4:6576900-6624130:+	chr4:6576099-6578170
LURAP1L	NM_203403.1	chr9:12775011-12823059:+	chr9:12774673-12780461
ZNF688	NM_145271.3	chr16:30581006-30583728:-	chr16:30581362-30584986
IL15	NM_000585.4	chr4:142557748-142655140:+	chr4:142556957-142560718
CHCHD10	NM_001301339.1	chr22:24108020-24110159:-	chr22:24108465-24111073
FOXP1	NM_001244808.1	chr3:71003864-71632904:-	chr3:71627694-71635017
ATPAF1	NM_001256418.1	chr1:47100710-47131550:-	chr1:47132622-47134700
CAT	NM_001752.3	chr11:34460471-34493607:+	chr11:34459572-34464661
LOC101927932	NR_126334.1	chr20:57438810-57463865:-	chr20:57462833-57469806
GNAS	NR_132273.1	chr20:57463467-57475554:+	chr20:57462833-57469806
LIPT2	NM_001329941.1	chr11:74201555-74204758:-	chr11:74203312-74205709
LOC100287896	NM_001319240.1	chr11:74204429-74209578:+	chr11:74203312-74205709
FAM213B	NR_036638.1	chr1:2517898-2522908:+	chr1:2516423-2519693
PTK7	NR_072997.1	chr6:43044005-43129458:+	chr6:43043526-43045995
FXYD5	NM_001320913.1	chr19:35645624-35660788:+	chr19:35644343-35648284
CNKSR3	NM_173515.2	chr6:154726432-154831753:-	chr6:154829045-154833391
TBC1D23	NM_018309.4	chr3:99979660-100044096:+	chr3:99978881-99984226
EXTL3-AS1	NR_126027.1	chr8:28555919-28558981:-	chr8:28558165-28561731
EXTL3	NR_073468.1	chr8:28558989-28611207:+	chr8:28558165-28561731
USP4	NM_003363.3	chr3:49314576-49377536:-	chr3:49375566-49379096
GALK1	NM_000154.1	chr17:73754017-73761280:-	chr17:73759662-73761614
SYNGR2	NM_001320523.1	chr17:76164625-76169009:+	chr17:76164025-76166507
CCDC3	NM_001282658.1	chr10:12938624-13141773:-	chr10:13140888-13144833
OPTN	NM_021980.4	chr10:13142081-13180276:+	chr10:13140888-13144833
PSIP1	NM_033222.4	chr9:15464063-15511017:-	chr9:15508590-15511763
ATP1B1	NM_001677.3	chr1:169075946-169101960:+	chr1:169074602-169082313
LOC101928596	NR_135799.1	chr1:169073361-169074145:+	chr1:169074602-169082313
IGF2R	NM_000876.3	chr6:160390130-160532536:+	chr6:160389170-160392891
MADD	NM_130470.2	chr11:47290926-47351582:+	chr11:47290046-47293299
LOC101928943	NR_120568.1	chr11:47292207-47293626:-	chr11:47290046-47293299
CCDC102A	NM_033212.3	chr16:57546089-57570477:-	chr16:57569209-57571513
DMWD	NM_004943.1	chr19:46286263-46296060:-	chr19:46294482-46296664
FRAS1	NM_001166133.1	chr4:78978723-79367787:+	chr4:78977003-78982012
DNAAF3	NM_001256714.1	chr19:55670028-55678090:-	chr19:55677101-55679274
LOC284241	NR_136643.1	chr18:77398927-77439745:-	chr18:77437913-77442765
CTDP1	NM_048368.3	chr18:77439800-77514510:+	chr18:77437913-77442765
ZNF362	NM_152493.2	chr1:33722173-33766320:+	chr1:33720853-33724111
TJP2	NM_001170414.2	chr9:71736179-71870124:+	chr9:71735094-71738655
NR3C2	NM_000901.4	chr4:148999914-149363672:-	chr4:149362109-149367573
PNPLA2	NM_020376.3	chr11:818900-825573:+	chr11:818751-821383
SMCO4	NM_020179.2	chr11:93211637-93276546:-	chr11:93276517-93277506
RNU4-2	NR_003137.2	chr12:120729565-120729706:-	chr12:120729646-120731669
RNU4-1	NR_003925.1	chr12:120730896-120731040:-	chr12:120729646-120731669
SPATC1L	NM_001142854.1	chr21:47581061-47604373:-	chr21:47603195-47605726
SNX30	NM_001012994.1	chr9:115513133-115637267:+	chr9:115511670-115515525
RFK	NM_018339.5	chr9:79000432-79009444:-	chr9:79005598-79011194
RPSAP9	NR_026890.1	chr9:79013514-79014954:+	chr9:79005598-79011194
SBF2-AS1	NR_036485.1	chr11:9779839-9832866:+	chr11:9779306-9781291
LOC440028	NR_033972.1	chr11:9776316-9781080:-	chr11:9779306-9781291
FANCB	NM_001018113.2	chrX:14861528-14891191:-	chrX:14889776-14893008
MOSPD2	NM_152581.3	chrX:14891526-14939459:+	chrX:14889776-14893008
DISP1	NM_032890.3	chr1:222988430-223179337:+	chr1:222987236-222991161
TMEM191A	NR_026815.1	chr22:21055401-21058891:+	chr22:21055296-21059343
PPP2CB	NM_001009552.1	chr8:30643125-30670352:-	chr8:30667679-30670694
CDK18	NM_212502.2	chr1:205473683-205501921:+	chr1:205473187-205475533
RAB12	NM_001025300.2	chr18:8609442-8639380:+	chr18:8607861-8612225
TTI2	NM_025115.3	chr8:33356026-33370703:-	chr8:33368454-33372578
SNORD13	NR_003041.1	chr8:33370992-33371096:+	chr8:33368454-33372578
BTN3A1	NM_194441.2	chr6:26402464-26415444:+	chr6:26401794-26404331
AKTIP	NM_001012398.2	chr16:53524951-53537216:-	chr16:53534964-53537224
CACFD1	NM_001135775.2	chr9:136325086-136335909:+	chr9:136324264-136326710
AKAP7	NM_016377.3	chr6:131456825-131604675:+	chr6:131455761-131458035
LOC100652758	NR_132346.1	chr5:151149353-151151069:-	chr5:151149318-151151144
G3BP1	NM_198395.1	chr5:151151475-151184915:+	chr5:151149318-151151144
PRKAR2A	NM_004157.3	chr3:48784011-48885283:-	chr3:48882612-48885968
PRKAR2A-AS1	NR_109997.1	chr3:48885369-48889415:+	chr3:48882612-48885968
SLC12A6	NM_133647.1	chr15:34522196-34629045:-	chr15:34628460-34630965
UFSP1	NM_001015072.3	chr7:100486343-100487339:-	chr7:100485527-100489320
PCGF5	NM_001256549.1	chr10:92979907-93044088:+	chr10:92979722-92982069
SIK3	NM_001281748.1	chr11:116714117-116969131:-	chr11:116966697-116970640
FOXO1	NM_002015.3	chr13:41129800-41240734:-	chr13:41236622-41242144
MIR3180-4	NR_037466.1	chr16:15248706-15248859:-	chr16:15248775-15249759
C19orf73	NM_018111.2	chr19:49621653-49622397:-	chr19:49621251-49623923
PPFIA3	NR_103842.1	chr19:49622645-49654287:+	chr19:49621251-49623923
SMIM19	NM_001135676.1	chr8:42396297-42408140:+	chr8:42393490-42399716
SLC20A2	NM_001257181.1	chr8:42273979-42396655:-	chr8:42393490-42399716
ACOT9	NM_001330259.1	chrX:23719171-23761404:-	chrX:23758781-23762275
IAH1	NM_001320860.1	chr2:9614657-9628753:+	chr2:9613694-9616276
NEIL1	NM_024608.3	chr15:75639330-75647592:+	chr15:75638991-75641431
SEMA3C	NM_006379.3	chr7:80371853-80548667:-	chr7:80544441-80549616
ARHGEF2	NM_004723.3	chr1:155916629-155947966:-	chr1:155941741-155953431
CYB5A	NM_001914.3	chr18:71920526-71959251:-	chr18:71957601-71960084
CEP135	NM_025009.4	chr4:56814973-56899529:+	chr4:56812634-56817148
MLXIP	NM_014938.5	chr12:122516633-122631894:+	chr12:122515736-122521774
CDAN1	NM_138477.2	chr15:43015759-43029417:-	chr15:43027946-43030069
ALDH7A1	NM_001201377.1	chr5:125877532-125931082:-	chr5:125927918-125931770
STRBP	NM_018387.4	chr9:125883898-126030843:-	chr9:126029081-126031814
PBK	NM_018492.3	chr8:27667137-27695612:-	chr8:27692808-27696561
STPG2	NM_174952.2	chr4:98480024-99064391:-	chr4:99063325-99065584
ZNF283	NM_001297752.1	chr19:44331443-44353050:+	chr19:44330892-44332614
RASGRP3	NM_001139488.1	chr2:33701320-33789798:+	chr2:33700465-33703359
MROH1	NM_001099281.2	chr8:145202918-145268368:+	chr8:145201511-145204708
MMP25-AS1	NR_123723.1	chr16:3102125-3109371:-	chr16:3107837-3109981
MARK4	NM_001199867.1	chr19:45754515-45808541:+	chr19:45753672-45756297
NAAA	NM_001042402.1	chr4:76831807-76862166:-	chr4:76860305-76862657
MCOLN1	NM_020533.2	chr19:7587495-7598895:+	chr19:7586809-7588703
SLC15A4	NM_145648.3	chr12:129277738-129308541:-	chr12:129305104-129309670
SRPK2	NM_182692.2	chr7:104756820-105029377:-	chr7:105027360-105030229
SMTN	NM_006932.4	chr22:31477281-31500610:+	chr22:31476569-31482030
BAG3	NM_004281.3	chr10:121410881-121437331:+	chr10:121409862-121415507
BTN2A2	NM_001197238.1	chr6:26383323-26395102:+	chr6:26383075-26385836
FAM27E3	NR_103833.1	chr9:67784943-67786625:-	chr9:67784035-67795093
FAM27B	NR_027422.1	chr9:67792928-67794189:-	chr9:67784035-67795093
AAED1	NM_153698.1	chr9:99403532-99417599:-	chr9:99416410-99418835
ZNF792	NM_175872.4	chr19:35447257-35454953:-	chr19:35452334-35455517
ARMCX6	NM_001184768.1	chrX:100870107-100872991:-	chrX:100871572-100873449
CFLAR	NM_001308043.1	chr2:201980826-202004600:+	chr2:201977968-201988337
PRKCG	NM_001316329.1	chr19:54385437-54410901:+	chr19:54382116-54383370
DPYSL2	NM_001386.5	chr8:26435339-26515693:+	chr8:26433095-26438964
NEO1	NM_001172624.1	chr15:73344824-73597547:+	chr15:73343171-73346621
SGCB	NM_000232.4	chr4:52886860-52904485:-	chr4:52903043-52905202
STX7	NM_001326578.1	chr6:132778662-132833934:-	chr6:132831573-132835274
SLC41A3	NM_017836.3	chr3:125725199-125803134:-	chr3:125801710-125804010
RSPH4A	NM_001161664.1	chr6:116937641-116954148:+	chr6:116936849-116938524
RASSF1	NM_170713.2	chr3:50367216-50374895:-	chr3:50372492-50379517
RASSF1-AS1	NR_109831.1	chr3:50374941-50375731:+	chr3:50372492-50379517
ACVR1	NM_001105.4	chr2:158592957-158731623:-	chr2:158730529-158734188
DRAM1	NM_018370.2	chr12:102271104-102317401:+	chr12:102270078-102274577
OSR2	NM_053001.3	chr8:99956630-99964332:+	chr8:99951608-99961093
SMIM11A	NM_058182.4	chr21:35747748-35761452:+	chr21:35747004-35749136
CLUHP3	NR_024034.1	chr16:31711933-31718758:+	chr16:31711407-31713143
ERCC2	NM_000400.3	chr19:45854648-45873845:-	chr19:45871541-45874749
DPY19L2P2	NR_003561.2	chr7:102815459-102920759:-	chr7:102917832-102921822
SDC4	NM_002999.3	chr20:43953927-43977064:-	chr20:43972283-43977606
PINK1	NM_032409.2	chr1:20959947-20978004:+	chr1:20959493-20961693
MIR6084	NR_106732.1	chr1:20960171-20960281:+	chr1:20959493-20961693
ATP13A2	NM_022089.3	chr1:17312452-17338467:-	chr1:17336950-17338977
LOC102724552	NR_125999.1	chr1:8484704-8495076:+	chr1:8481141-8484886
DIAPH1	NM_001314007.1	chr5:140894587-140998622:-	chr5:140994011-140999222
PPP3CC	NM_001243975.1	chr8:22298482-22398657:+	chr8:22297552-22302357
DUSP10	NR_111939.1	chr1:221874761-221910242:-	chr1:221908985-221917662
FGFR1	NM_001174067.1	chr8:38268655-38325363:-	chr8:38322533-38326695
PXN	NM_001080855.2	chr12:120648241-120703574:-	chr12:120699834-120703638
ZNF182	NM_006962.1	chrX:47834249-47863377:-	chrX:47861770-47864136
SPACA5	NM_205856.3	chrX:47863733-47869126:+	chrX:47861770-47864136
ITGB5	NM_002213.4	chr3:124480794-124606152:-	chr3:124604002-124606989
SMA4	NR_029426.1	chr5:69434688-69586004:-	chr5:69583306-69587737
KIAA1549	NM_001164665.1	chr7:138516125-138666064:-	chr7:138664515-138667347
MAP3K5	NM_005923.3	chr6:136878186-137113656:-	chr6:137109667-137115215
USP31	NM_020718.3	chr16:23072727-23160591:-	chr16:23160794-23161784
MRPL44	NM_022915.3	chr2:224822120-224832431:+	chr2:224821352-224826529
SLC12A4	NM_001145963.1	chr16:67977376-67997968:-	chr16:68000234-68003542
MXD3	NM_001142935.1	chr5:176732500-176739292:-	chr5:176736972-176740517
FMO5	NM_001144829.2	chr1:146655883-146697230:-	chr1:146696083-146697999
ZNF549	NM_153263.2	chr19:58038692-58052244:+	chr19:58038194-58040196
UNC119	NM_054035.2	chr17:26873724-26879646:-	chr17:26878585-26880083
CARS2	NM_024537.3	chr13:111293756-111358527:-	chr13:111356499-111359241
TBC1D25	NM_002536.2	chrX:48398074-48420997:+	chrX:48397404-48399226
URGCP-MRPS24	NM_001204871.1	chr7:43906156-43946231:-	chr7:43944616-43946815
RSG1	NM_030907.3	chr1:16558181-16563659:-	chr1:16562600-16564394
NOXO1	NM_172168.2	chr16:2028917-2031550:-	chr16:2033099-2035868
GFER	NM_005262.2	chr16:2034149-2037750:+	chr16:2033099-2035868
LOC105378853	NR_135038.1	chr1:91248540-91317195:-	chr1:91315706-91317956
CYP39A1	NM_016593.4	chr6:46517316-46620567:-	chr6:46617562-46621867
SLC25A27	NM_001204052.1	chr6:46620651-46645927:+	chr6:46617562-46621867
CISD3	NM_001136498.1	chr17:36886509-36891858:+	chr17:36885669-36888431
ZFP69B	NM_023070.2	chr1:40916336-40929390:+	chr1:40914920-40918080
DHRS12	NM_001270424.1	chr13:52342128-52378298:-	chr13:52376896-52379374
LAPTM4B	NM_018407.4	chr8:98787808-98864830:+	chr8:98786907-98791566
TUBA4A	NM_006000.2	chr2:220114432-220118668:-	chr2:220116299-220119794
TUBA4B	NR_003063.1	chr2:220117964-220136910:+	chr2:220116299-220119794
UBE2F	NM_001278306.1	chr2:238875586-238951423:+	chr2:238874803-238877621
UBE2F-SCLY	NR_037904.1	chr2:238875586-239008054:+	chr2:238874803-238877621
KIF16B	NM_024704.4	chr20:16252748-16554079:-	chr20:16552347-16557059
TFDP2	NM_001178138.1	chr3:141663269-141868386:-	chr3:141865220-141868897
TBC1D14	NM_001113363.1	chr4:6988888-7034845:+	chr4:6986389-6990620
MCM9	NM_017696.2	chr6:119134611-119252903:-	chr6:119254204-119257336
RNY4	NR_004393.1	chr7:148660406-148660502:+	chr7:148659567-148662244
MGA	NM_001080541.2	chr15:41952609-42062141:+	chr15:41951765-41954842
MSL3	NM_078628.1	chrX:11776277-11786096:+	chrX:11775372-11779620
GEMIN4	NM_015721.2	chr17:647660-655501:-	chr17:652723-656820
DBIL5P	NR_024120.2	chr17:655572-658576:+	chr17:652723-656820
ZNF280C	NM_017666.4	chrX:129336672-129402922:-	chrX:129399486-129403252
SPTBN4	NM_020971.2	chr19:40973125-41082365:+	chr19:40969545-40972945
BLVRB	NM_000713.2	chr19:40953690-40971725:-	chr19:40969545-40972945
FOCAD-AS1	NR_121601.1	chr9:20683300-20684749:-	chr9:20683097-20686050
PXMP4	NM_007238.4	chr20:32290549-32308136:-	chr20:32306617-32308858
MIR937	NR_030633.1	chr8:144895126-144895212:-	chr8:144896090-144898873
SCRIB	NM_182706.4	chr8:144873089-144897549:-	chr8:144896090-144898873
CHD3	NM_001005271.2	chr17:7788122-7816075:+	chr17:7786679-7792656
UBE2I	NM_194261.2	chr16:1359153-1377019:+	chr16:1358180-1362789
MIB1	NM_020774.3	chr18:19321289-19450918:+	chr18:19319341-19323870
MTSS1	NM_001282971.1	chr8:125563010-125740748:-	chr8:125738039-125741473
PAPD7	NM_001171805.1	chr5:6714717-6757161:+	chr5:6711604-6717223
LOC100131655	NR_040024.1	chr18:74506687-74534251:-	chr18:74531928-74536332
ZNF236	NM_001306089.1	chr18:74534562-74682683:+	chr18:74531928-74536332
ZNF772	NM_001024596.2	chr19:57980953-57988938:-	chr19:57987695-57989613
SYDE2	NM_032184.1	chr1:85623355-85666728:-	chr1:85662885-85668519
MDFIC	NM_001166346.1	chr7:114562208-114563720:+	chr7:114561654-114564676
ZNF280D	NM_017661.3	chr15:56922373-57026284:-	chr15:57023876-57026741
FXR2	NM_004860.3	chr17:7494547-7518215:-	chr17:7515495-7519248
CORO1B	NM_020441.2	chr11:67205517-67210983:-	chr11:67209718-67212383
PKD1	NM_001009944.2	chr16:2138710-2185899:-	chr16:2186132-2186919
MIR3180-5	NR_037467.1	chr16:2185977-2186130:-	chr16:2186132-2186919
OSBPL7	NM_145798.2	chr17:45884732-45899147:-	chr17:45897816-45899792
SLC7A1	NM_003045.4	chr13:30083550-30169825:-	chr13:30166711-30170776
DLG5	NM_004747.3	chr10:79550548-79686348:-	chr10:79684114-79687487
DLG5-AS1	NR_024585.1	chr10:79686569-79689583:+	chr10:79684114-79687487
ARL17B	NM_001103154.1	chr17:44376912-44439134:-	chr17:44437570-44440083
GAB2	NM_080491.2	chr11:77926335-78128868:-	chr11:78125880-78130158
SH2B2	NM_020979.4	chr7:101928352-101962178:+	chr7:101929069-101932360
GTF3C5	NM_001286709.1	chr9:135906061-135933890:+	chr9:135904523-135914008
LOC105376306	NR_135119.1	chr9:135903538-135905809:-	chr9:135904523-135914008
OTUD5	NM_017602.3	chrX:48779300-48814893:-	chrX:48813015-48816889
CSNK1E	NM_152221.2	chr22:38686696-38713413:-	chr22:38708659-38714720
GPAT3	NM_001256422.1	chr4:84457066-84527028:+	chr4:84456058-84460867
ZMIZ2	NM_001300959.1	chr7:44788164-44809480:+	chr7:44787329-44790605
TCEAL8	NM_153333.2	chrX:102507922-102510121:-	chrX:102508338-102510790
NFKBIE	NM_004556.2	chr6:44225902-44233525:-	chr6:44230196-44233729
XPA	NR_027302.1	chr9:100437190-100459691:-	chr9:100456380-100460396
ZNF569	NM_001330482.1	chr19:37902043-37958360:-	chr19:37956788-37961497
ZNF570	NM_001300993.2	chr19:37958673-37979554:+	chr19:37956788-37961497
CDC42EP2	NM_006779.3	chr11:65082288-65089900:+	chr11:65079634-65085305
LARP4B	NM_015155.2	chr10:852853-977645:-	chr10:975027-979250
LOC101927762	NR_120629.1	chr10:978965-988683:+	chr10:975027-979250
UPRT	NM_145052.3	chrX:74493893-74524732:+	chrX:74493271-74496121
EOGT	NM_001278689.1	chr3:69024362-69063045:-	chr3:69061148-69064044
PANDAR	NR_109836.1	chr6:36641397-36642903:-	chr6:36643856-36650699
CDKN1A	NM_001220777.1	chr6:36644236-36655116:+	chr6:36643856-36650699
DINO	NR_144384.1	chr6:36645385-36646336:-	chr6:36643856-36650699
ACSF2	NM_001288971.1	chr17:48503518-48552206:+	chr17:48502707-48505082
C10orf88	NM_024942.3	chr10:124690418-124713919:-	chr10:124712228-124715161
U2AF1	NM_001025204.1	chr21:44513065-44527688:-	chr21:44524905-44531079
TRIO	NR_134469.1	chr5:14143810-14510313:+	chr5:14142096-14149797
PLPP5	NM_001102559.1	chr8:38120647-38126738:-	chr8:38124728-38127391
GNA11	NM_002067.4	chr19:3094407-3124000:+	chr19:3094393-3096522
FAM160A1	NM_001109977.1	chr4:152330397-152584784:+	chr4:152328730-152332270
ZNF701	NM_018260.2	chr19:53073525-53090427:+	chr19:53072711-53074812
ZNF703	NM_025069.2	chr8:37553268-37557539:+	chr8:37551520-37558112
DNAJC5	NM_025219.2	chr20:62526454-62567384:+	chr20:62525305-62528709
TKT	NM_001135055.2	chr3:53258722-53290130:-	chr3:53283222-53290461
ATL3	NM_015459.4	chr11:63391553-63439202:-	chr11:63435733-63439760
PLS3	NM_005032.6	chrX:114795176-114885181:+	chrX:114794291-114798543
PLS3-AS1	NR_110383.1	chrX:114752496-114797058:-	chrX:114794291-114798543
WIPI1	NR_135470.1	chr17:66417421-66453665:-	chr17:66450648-66454939
C2CD3	NM_001286577.1	chr11:73723758-73882064:-	chr11:73878516-73888756
PPME1	NM_016147.2	chr11:73882107-73965748:+	chr11:73878516-73888756
PKIG	NM_007066.4	chr20:43160421-43247678:+	chr20:43159497-43161899
LOC105371184	NR_136337.1	chr16:728517-729777:-	chr16:729099-732287
STUB1	NM_005861.3	chr16:730110-732768:+	chr16:729099-732287
JMJD8	NR_136651.1	chr16:731665-734446:-	chr16:729099-732287
MGAT1	NM_002406.3	chr5:180217540-180230048:-	chr5:180228024-180231878
ZNF618	NM_001318040.1	chr9:116638561-116818875:+	chr9:116638529-116640824
STK25	NM_001271978.1	chr2:242434121-242447775:-	chr2:242445740-242449589
TSPAN13	NM_014399.3	chr7:16793350-16824161:+	chr7:16792680-16796884
