HUGO_symbol	transcript	gene_coordinate	assigned_peak
CST3	NM_001288614.1	chr20:23608533-23618685:-	chr20:23616225-23621995
PARD3	NM_019619.3	chr10:34398487-35104253:-	chr10:35096995-35105314
PARD3-AS1	NR_108043.1	chr10:35104695-35105350:+	chr10:35096995-35105314
PFKFB3	NM_004566.3	chr10:6244839-6277508:+	chr10:6237343-6251610
APBB1	NM_001164.4	chr11:6416353-6440341:-	chr11:6439429-6441204
ZDHHC9	NM_001008222.2	chrX:128937263-128977561:-	chrX:128975943-128981702
ST6GAL1	NM_173217.2	chr3:186648314-186796341:+	chr3:186644707-186652422
MARC2	NM_001331042.1	chr1:220921587-220958157:+	chr1:220919942-220922806
SYCP2L	NM_001040274.2	chr6:10887063-10974542:+	chr6:10886019-10890402
LINC00211	NR_110011.1	chr2:38053389-38056854:-	chr2:38054237-38060605
CX3CL1	NM_001304392.1	chr16:57406372-57418960:+	chr16:57405327-57415656
MIR2277	NR_031754.1	chr5:92956401-92956494:-	chr5:92951040-92959532
GNPTAB	NM_024312.4	chr12:102139274-102224645:-	chr12:102215133-102225291
FBXO47	NM_001008777.2	chr17:37092684-37123655:-	chr17:37122601-37124863
IGFBP1	NM_000596.2	chr7:45927958-45933267:+	chr7:45920006-45929474
CRHR1-IT1-CRHR1	NM_001303016.1	chr17_ctg5_hap1:954314-1168888:-	chr17_ctg5_hap1:1169249-1171500
CRHR1-IT1	NR_027295.2	chr17_ctg5_hap1:1151951-1170182:-	chr17_ctg5_hap1:1169249-1171500
FKBP9P1	NR_027340.1	chr7:55748766-55755725:-	chr7:55754661-55771090
CHRFAM7A	NM_139320.1	chr15:30653442-30685864:-	chr15:30684563-30686360
ZNF137P	NR_023311.1	chr19:53099936-53103405:+	chr19:53101589-53105494
MUC2	NM_002457.4	chr11:1074874-1104416:+	chr11:1070853-1075373
IL4R	NM_001257997.1	chr16:27325229-27376099:+	chr16:27324089-27343825
ARHGAP26-AS1	NR_046680.1	chr5:142239168-142248475:-	chr5:142239827-142255546
TMEM191B	NM_001242313.1	chr22:20377668-20380440:+	chr22:20377206-20379835
MFSD13A	NM_024789.3	chr10:104221169-104236802:+	chr10:104219934-104224841
FUT1	NM_001329877.1	chr19:49251267-49256917:-	chr19:49254723-49260380
FGF21	NM_019113.3	chr19:49258815-49261587:+	chr19:49254723-49260380
C1orf21	NM_030806.3	chr1:184356149-184598155:+	chr1:184354534-184362677
TMEM37	NM_183240.2	chr2:120189445-120196096:+	chr2:120186959-120190586
IL11RA	NM_001142784.2	chr9:34652181-34661899:+	chr9:34651109-34654230
IFI27	NM_001288958.1	chr14:94577078-94583036:+	chr14:94575593-94579603
TM4SF20	NM_024795.4	chr2:228226753-228244022:-	chr2:228227231-228282793
MIR378G	NR_039620.1	chr1:95211415-95211456:-	chr1:95199282-95210491
MIR6838	NR_106897.1	chr7:44112976-44113032:-	chr7:44110541-44115104
OBSL1	NM_015311.2	chr2:220415449-220436268:-	chr2:220433336-220438195
INHA	NM_002191.3	chr2:220436953-220440435:+	chr2:220433336-220438195
SH3RF3	NM_001099289.2	chr2:109745996-110262213:+	chr2:109740556-109749275
SH3RF3-AS1	NR_029193.1	chr2:109743782-109746575:-	chr2:109740556-109749275
SH3BP2	NM_001122681.1	chr4:2794749-2842823:+	chr4:2786721-2804588
C17orf64	NM_181707.2	chr17:58499864-58508787:+	chr17:58498342-58500056
ZNF552	NM_024762.3	chr19:58318449-58326281:-	chr19:58307779-58329283
AADACP1	NR_026915.1	chr3:151488243-151502682:+	chr3:151482649-151494147
SLCO4A1	NM_016354.3	chr20:61273796-61303647:+	chr20:61263377-61288477
FAP	NM_004460.4	chr2:163027193-163100067:-	chr2:163095623-163104234
PKN1	NM_002741.3	chr19:14544165-14582679:+	chr19:14543319-14552230
MIR450B	NR_030587.1	chrX:133674214-133674292:-	chrX:133667143-133673052
MIR450A1	NR_029962.1	chrX:133674370-133674461:-	chrX:133667143-133673052
MIR450A2	NR_030227.1	chrX:133674537-133674637:-	chrX:133667143-133673052
VASN	NM_138440.2	chr16:4421848-4433529:+	chr16:4418352-4428302
LOC727751	NR_102748.1	chr15:82944749-82976258:+	chr15:82943924-82947997
PLIN2	NR_038064.1	chr9:19115758-19127604:-	chr9:19112349-19131179
FGF14-IT1	NR_036486.1	chr13:102944669-103046869:-	chr13:103045676-103047802
FGF14-AS2	NR_036487.1	chr13:103046927-103048055:+	chr13:103045676-103047802
ADGRL2	NM_001297706.1	chr1:82266081-82458422:+	chr1:82265169-82272741
CHN1	NM_001822.5	chr2:175664041-175869981:-	chr2:175867730-175870979
LOC102724156	NR_135137.1	chr9:90681349-90692815:-	chr9:90690369-90692931
NDRG4	NM_020465.3	chr16:58497548-58547523:+	chr16:58492328-58495083
OR2A1	NM_001005287.1	chr7:144015217-144016150:+	chr7:144009983-144016844
AKT1	NM_005163.2	chr14:105235685-105259938:-	chr14:105258448-105270153
ZBTB42	NM_001137601.2	chr14:105267517-105271049:+	chr14:105258448-105270153
SHOX2	NM_003030.4	chr3:157813799-157823952:-	chr3:157820889-157825392
SLC7A8	NM_182728.2	chr14:23594503-23623659:-	chr14:23621938-23626194
DCLK2	NR_036614.1	chr4:150999425-151178609:+	chr4:150998758-151001612
UPK1A-AS1	NR_046420.1	chr19:36158849-36164193:-	chr19:36163624-36165141
ZMYND19	NM_138462.2	chr9:140476530-140484937:-	chr9:140482326-140487727
SULF2	NM_018837.3	chr20:46286149-46414808:-	chr20:46417264-46425406
ROR1	NM_001083592.1	chr1:64239689-64609063:+	chr1:64237745-64242801
E2F1	NM_005225.2	chr20:32263291-32274210:-	chr20:32271843-32278856
CRYAB	NM_001330379.1	chr11:111779343-111781477:-	chr11:111778851-111792174
HSPB2	NM_001541.3	chr11:111783459-111784817:+	chr11:111778851-111792174
HSPB2-C11orf52	NR_037651.1	chr11:111783459-111797595:+	chr11:111778851-111792174
C11orf52	NM_080659.2	chr11:111789600-111797595:+	chr11:111778851-111792174
USP7	NM_001321858.1	chr16:8985950-9050237:-	chr16:9050764-9062573
P3H2-AS1	NR_126419.1	chr3:189838752-189862635:+	chr3:189832835-189844181
P3H2	NM_018192.3	chr3:189674516-189838908:-	chr3:189832835-189844181
MIR548H3	NR_031679.1	chr17:13446845-13446963:-	chr17:13438599-13451008
BID	NM_197966.2	chr22:18216905-18256808:-	chr22:18253805-18257777
LINC00528	NR_103718.1	chr22:18260055-18262247:+	chr22:18253805-18257777
FRMD4A	NM_001318338.1	chr10:13685705-13749567:-	chr10:13737343-13762503
ZNF382	NM_001256838.1	chr19:37096206-37119499:+	chr19:37094696-37097614
GDF11	NM_005811.4	chr12:56137063-56147154:+	chr12:56136039-56138312
ULK4P2	NR_027470.1	chr15:30864757-30892911:+	chr15:30864239-30866425
LINC00960	NR_040005.1	chr3:75721431-75728454:+	chr3:75718174-75719868
RSPH14	NM_014433.2	chr22:23401592-23484241:-	chr22:23477763-23488557
RAB36	NM_004914.3	chr22:23487512-23507830:+	chr22:23477763-23488557
TPTE2P1	NR_026730.1	chr13:25502892-25542607:-	chr13:25541990-25543139
MIRLET7A3	NR_029478.1	chr22:46508628-46508702:+	chr22:46496989-46508523
MIR4763	NR_039920.1	chr22:46509445-46509537:+	chr22:46496989-46508523
MIRLET7B	NR_029479.1	chr22:46509565-46509648:+	chr22:46496989-46508523
PRR15L	NM_024320.3	chr17:46029332-46035243:-	chr17:46021996-46039311
CPNE7	NM_153636.2	chr16:89642175-89663654:+	chr16:89640113-89643645
NCK2	NM_001004722.3	chr2:106361519-106510730:+	chr2:106359872-106367250
CPA4	NM_001163446.1	chr7:129932973-129964020:+	chr7:129927592-129936635
AVPR2	NR_027419.1	chrX:153167984-153172620:+	chrX:153165308-153168710
ZNF204P	NR_002722.2	chr6:27325601-27339304:-	chr6:27341206-27344018
HNF1B	NM_000458.3	chr17:36046433-36105069:-	chr17:36094578-36107234
LOC339807	NR_034023.1	chr2:64834445-64843616:+	chr2:64832380-64837356
LOC389906	NR_034031.1	chrX:3735575-3761935:-	chrX:3759667-3762677
SYT5	NM_001297774.1	chr19:55684463-55690811:-	chr19:55689908-55691602
NEIL1	NM_024608.3	chr15:75639330-75647592:+	chr15:75638970-75643482
TCFL5	NM_006602.3	chr20:61472365-61493115:-	chr20:61488218-61494739
FANCE	NM_021922.2	chr6:35420137-35434881:+	chr6:35419406-35422857
PRR5L	NM_001160168.1	chr11:36397534-36486754:+	chr11:36391501-36401947
CABP1	NM_004276.4	chr12:121088309-121105127:+	chr12:121086487-121087586
FAM180A	NM_205855.3	chr7:135414345-135433594:-	chr7:135428500-135431806
PPM1H	NM_020700.1	chr12:63037761-63328665:-	chr12:63324270-63330652
HBEGF	NM_001945.2	chr5:139712427-139726188:-	chr5:139718741-139729847
MIR3649	NR_037422.1	chr12:1769480-1769546:-	chr12:1767744-1772793
SLC12A8	NM_001195483.1	chr3:124801479-124930243:-	chr3:124930463-124934913
ARHGEF37	NM_001001669.2	chr5:148961134-149014527:+	chr5:148957598-148964516
LINC02015	NR_110826.1	chr3:177534652-177617012:+	chr3:177526487-177549811
SMARCA1	NM_003069.4	chrX:128580477-128657482:-	chrX:128654960-128659967
QDPR	NM_000320.2	chr4:17488015-17513857:-	chr4:17511280-17515578
CLRN2	NM_001079827.2	chr4:17516787-17528727:+	chr4:17511280-17515578
DDR2	NM_006182.2	chr1:162602227-162750255:+	chr1:162598790-162605214
EPS15L1	NM_001258374.1	chr19:16466054-16582823:-	chr19:16551983-16583870
LINC02138	NR_046200.1	chr16:89232790-89235555:+	chr16:89233361-89234376
ARMC4	NM_001290020.1	chr10:28101092-28287835:-	chr10:28286254-28288477
MIR155HG	NR_001458.3	chr21:26934456-26947480:+	chr21:26933378-26937351
TMEM8A	NM_021259.2	chr16:420775-431950:-	chr16:428995-439995
LOC100134368	NR_024453.2	chr16:432240-442960:+	chr16:428995-439995
PKP2	NM_004572.3	chr12:32943679-33049780:-	chr12:33035912-33056434
ZFHX4	NM_024721.4	chr8:77593514-77779521:+	chr8:77580271-77602314
ZFHX4-AS1	NR_024360.1	chr8:77523113-77595510:-	chr8:77580271-77602314
LINC01909	NR_126336.1	chr18:68002674-68019695:+	chr18:67995495-68005923
NPB	NM_148896.4	chr17:79859984-79860781:+	chr17:79854291-79858805
KIAA1147	NM_001080392.1	chr7:141356527-141401953:-	chr7:141400147-141402769
BTBD6	NM_033271.2	chr14:105714878-105717430:+	chr14:105713867-105716875
PPT1	NM_000310.3	chr1:40538381-40563142:-	chr1:40555448-40563597
PKD2	NM_000297.3	chr4:88928798-88998931:+	chr4:88923012-88941225
ARSG	NM_014960.4	chr17:66255322-66417000:+	chr17:66253333-66258012
ZNF519	NR_033354.1	chr18:14075988-14132489:-	chr18:14125714-14133520
PLLP	NM_015993.2	chr16:57290008-57318584:-	chr16:57316376-57319269
DMPK	NM_001288765.1	chr19:46272966-46282877:-	chr19:46282256-46288630
SPATA7	NM_001040428.3	chr14:88851987-88904804:+	chr14:88851134-88857126
FOXCUT	NR_125804.1	chr6:1605765-1607593:+	chr6:1603510-1619123
FOXC1	NM_001453.2	chr6:1610680-1614132:+	chr6:1603510-1619123
GTF2IP7	NR_135079.1	chr7:75721380-75738080:-	chr7:75732824-75740073
SLC17A9	NM_022082.3	chr20:61583998-61599949:+	chr20:61582790-61588071
GCNT1	NM_001097633.1	chr9:79074067-79122332:+	chr9:79064484-79075741
CTIF	NM_014772.2	chr18:46065426-46389588:+	chr18:46064196-46083855
GNA11	NM_002067.4	chr19:3094407-3124000:+	chr19:3092872-3099700
PNPLA7	NM_001098537.2	chr9:140354403-140445021:-	chr9:140442359-140447653
MRPL41	NM_032477.2	chr9:140446308-140447007:+	chr9:140442359-140447653
LINC00452	NM_001278674.1	chr13:114598075-114624290:+	chr13:114597146-114620213
IZUMO1	NM_001321865.1	chr19:49244144-49249189:-	chr19:49249417-49252789
LOC101927635	NR_135596.1	chrX:48364913-48367227:-	chrX:48362472-48370402
PORCN	NM_022825.3	chrX:48367346-48379202:+	chrX:48362472-48370402
FAM175A	NM_139076.2	chr4:84382091-84406290:-	chr4:84403743-84410204
SDC2	NM_002998.3	chr8:97505881-97624037:+	chr8:97502754-97509746
HRC	NM_002152.2	chr19:49654454-49658681:-	chr19:49657895-49662882
TRPM4	NM_001321285.1	chr19:49660997-49715098:+	chr19:49657895-49662882
NTPCR	NR_138025.1	chr1:233086276-233114548:+	chr1:233070337-233092884
CRACR2A	NM_001144958.1	chr12:3724493-3862366:-	chr12:3860398-3865128
PSD3	NM_015310.3	chr8:18384812-18871196:-	chr8:18859223-18872440
FOXA1	NM_004496.3	chr14:38058756-38064325:-	chr14:38044390-38070838
TTC6	NM_001310135.1	chr14:38064403-38311833:+	chr14:38044390-38070838
ULK2	NM_014683.3	chr17:19674142-19771239:-	chr17:19768381-19771903
MREG	NM_018000.2	chr2:216807313-216878346:-	chr2:216861057-216884132
RNF43	NM_001305545.1	chr17:56429860-56480082:-	chr17:56452418-56497292
ARHGDIB	NR_135637.1	chr12:15094948-15101830:-	chr12:15097670-15118111
CTSH	NM_001319137.1	chr15:79214091-79237440:-	chr15:79234745-79237957
CCNYL2	NR_103829.1	chr10:42903621-42967688:-	chr10:42969598-42973516
LINC00839	NR_026827.1	chr10:42970938-42990785:+	chr10:42969598-42973516
HAS2-AS1	NR_002835.2	chr8:122651585-122657565:+	chr8:122635556-122656243
HAS2	NM_005328.2	chr8:122625270-122653630:-	chr8:122635556-122656243
CAMK1D	NM_020397.3	chr10:12391541-12868463:+	chr10:12390205-12393623
IFI44	NR_135640.1	chr1:79115473-79129763:+	chr1:79113681-79118448
ISYNA1	NM_001253389.1	chr19:18545197-18548119:-	chr19:18547124-18553516
RAB27B	NM_004163.4	chr18:52495707-52562747:+	chr18:52488015-52499588
P2RX4	NR_046373.1	chr12:121647663-121671909:+	chr12:121638288-121650250
CNKSR1	NM_001297648.1	chr1:26503980-26516375:+	chr1:26503277-26505337
PPP1R18	NM_001134870.1	chr6_dbb_hap3:1937827-1948755:-	chr6_dbb_hap3:1942838-1950114
NRM	NR_073072.1	chr6_dbb_hap3:1949485-1952162:-	chr6_dbb_hap3:1942838-1950114
LIME1	NM_001305654.1	chr20:62367052-62370460:+	chr20:62366376-62374153
SLC2A4RG	NM_020062.3	chr20:62371210-62375403:+	chr20:62366376-62374153
PDZK1	NM_001201326.1	chr1:145727665-145764207:+	chr1:145725292-145729633
LINC02130	NR_131191.1	chr16:14456965-14464123:-	chr16:14454327-14466640
LINC01285	NR_110393.1	chrX:117973518-118015978:+	chrX:117972970-117974242
LOC101927854	NR_121667.1	chr3:24192814-24231447:+	chr3:24184872-24201735
TMEM164	NM_017698.2	chrX:109245862-109421016:+	chrX:109243308-109252124
RPS6KC1	NM_001136138.2	chr1:213224574-213446808:+	chr1:213217963-213231960
ZNF699	NM_198535.2	chr19:9401815-9420390:-	chr19:9402094-9421438
C6orf136	NM_145029.3	chr6_qbl_hap6:1907722-1913888:+	chr6_qbl_hap6:1907759-1909387
DMRTA1	NM_022160.2	chr9:22446839-22452472:+	chr9:22446361-22449724
ZNF563	NM_145276.2	chr19:12428290-12444534:-	chr19:12440670-12445100
ZIC2	NM_007129.3	chr13:100634025-100639019:+	chr13:100631143-100640845
LINC01508	NR_109795.1	chr9:93063177-93195771:-	chr9:93191977-93197940
NPIPA5	NM_001277325.1	chr16:15457480-15472151:-	chr16:15474172-15478813
TLR1	NM_003263.3	chr4:38797875-38806412:-	chr4:38804590-38808386
LOC105369187	NR_135033.1	chr12:65938017-65951091:-	chr12:65949159-65952756
CGB7	NM_033142.1	chr19:49557530-49558997:-	chr19:49558831-49561495
C1QL1	NM_006688.4	chr17:43037060-43045644:-	chr17:43045888-43051671
LOC105373044	NR_134631.1	chr22:41947712-41956887:-	chr22:41955974-41964542
CSDC2	NM_014460.3	chr22:41957013-41972670:+	chr22:41955974-41964542
FAM58A	NM_152274.4	chrX:152853382-152864632:-	chrX:152863756-152868199
LOC105373383	NR_131982.1	chrX:152864794-152865348:+	chrX:152863756-152868199
LOC400710	NR_027257.2	chr19:50553845-50570052:+	chr19:50553728-50555713
LOC105370024	NR_134996.1	chr12:119611869-119614289:-	chr12:119604641-119622310
HSPB8	NM_014365.2	chr12:119616594-119632551:+	chr12:119604641-119622310
LINC01444	NR_110783.1	chr18:14969605-14970467:-	chr18:14967391-14978082
SPP1	NM_001251829.1	chr4:88896801-88904563:+	chr4:88890568-88901733
MIR4690	NR_039839.1	chr11:65403780-65403840:+	chr11:65403023-65409779
SIPA1	NM_006747.3	chr11:65405577-65418391:+	chr11:65403023-65409779
TMEM92	NM_001168215.1	chr17:48348766-48358846:+	chr17:48347215-48355134
MIR649	NR_030379.1	chr22:21388464-21388561:-	chr22:21390253-21400799
P2RX6P	NR_002829.1	chr22:21396680-21398538:-	chr22:21390253-21400799
LRRC74B	NM_001291006.1	chr22:21400248-21418457:+	chr22:21390253-21400799
PRDM1	NM_001198.3	chr6:106534194-106557814:+	chr6:106527857-106556609
TMEM268	NM_001330760.1	chr9:117373599-117408704:+	chr9:117365060-117389951
LOC105371433	NR_135098.1	chr1:150132925-150153463:+	chr1:150130889-150139023
RBP1	NM_002899.3	chr3:139236275-139258671:-	chr3:139250756-139261209
ZNF331	NM_001317114.1	chr19:54040938-54083523:+	chr19:54038520-54054891
GPNMB	NM_002510.2	chr7:23286315-23314729:+	chr7:23284321-23289147
ZNF792	NM_175872.4	chr19:35447257-35454953:-	chr19:35450431-35455585
STOM	NR_073037.1	chr9:124101265-124132582:-	chr9:124100398-124138484
CITED4	NM_133467.2	chr1:41326727-41328018:-	chr1:41324976-41336549
HNF4G	NM_001330561.1	chr8:76319904-76479078:+	chr8:76311331-76325257
USP6NL	NM_014688.3	chr10:11502508-11653788:-	chr10:11641856-11656036
ANP32C	NM_012403.1	chr4:165118158-165118863:-	chr4:165119812-165127924
CES3	NM_001185176.1	chr16:67001377-67009052:+	chr16:67001924-67008063
LINC00882	NR_028303.1	chr3:106828636-106959485:-	chr3:106957113-106962091
DUBR	NR_028301.1	chr3:106959538-106967719:+	chr3:106957113-106962091
MRGPRF-AS1	NR_120541.1	chr11:68779821-68785915:+	chr11:68774202-68781440
MRGPRF	NM_001098515.1	chr11:68771861-68780850:-	chr11:68774202-68781440
DLG3	NM_020730.2	chrX:69672154-69725340:+	chrX:69671648-69677146
DLG3-AS1	NR_046586.1	chrX:69672805-69675676:-	chrX:69671648-69677146
CCDC8	NM_032040.4	chr19:46913585-46916919:-	chr19:46918800-46921156
B3GNT7	NM_145236.2	chr2:232260334-232265875:+	chr2:232250243-232266445
MAP2K4	NM_003010.3	chr17:11924134-12047148:+	chr17:11923688-11929856
LINC01141	NR_033887.1	chr1:20686293-20755287:-	chr1:20752526-20756106
ZNF483	NM_133464.3	chr9:114287438-114306712:+	chr9:114286947-114288715
C1orf127	NM_001170754.1	chr1:11006529-11042094:-	chr1:11034993-11042755
RDM1	NM_001163130.1	chr17:34245083-34257303:-	chr17:34257006-34259623
ELFN1-AS1	NR_120508.1	chr7:1778265-1781946:-	chr7:1780502-1783299
NCS1	NM_014286.3	chr9:132934856-132999583:+	chr9:132933893-132936431
SLCO5A1	NM_001146009.1	chr8:70584567-70745404:-	chr8:70743973-70748363
COL13A1	NM_080798.3	chr10:71561643-71718904:+	chr10:71561004-71563348
MYL2	NM_000432.3	chr12:111348622-111358404:-	chr12:111353390-111357279
PBX4	NM_025245.2	chr19:19672515-19729725:-	chr19:19720679-19730193
ZNF879	NM_001136116.1	chr5:178450775-178461388:+	chr5:178449836-178451526
SMIM2-IT1	NR_046843.1	chr13:44720605-44732358:-	chr13:44731923-44736313
SMIM2	NM_024058.2	chr13:44717286-44735393:-	chr13:44731923-44736313
WNT10B	NM_003394.3	chr12:49359122-49365641:-	chr12:49364787-49365967
ZBTB18	NM_001278196.1	chr1:244212240-244220778:+	chr1:244209374-244232177
LOC101929596	NR_110259.1	chr2:38685778-38742882:-	chr2:38740598-38744863
MRC2	NM_006039.4	chr17:60704761-60770962:+	chr17:60702157-60708415
LOC100996664	NR_135816.1	chr14:69092243-69095504:-	chr14:69085140-69098099
ZNF814	NM_001144989.1	chr19:58380746-58400442:-	chr19:58398724-58401102
CMBL	NM_138809.3	chr5:10277706-10308168:-	chr5:10299615-10313098
CDK3	NM_001258.2	chr17:73996986-74002080:+	chr17:73991485-73995449
MTM1	NM_000252.2	chrX:149737046-149841616:+	chrX:149736099-149746718
SLC43A2	NM_001284498.1	chr17:1472547-1531669:-	chr17:1529328-1535840
PNPLA3	NM_025225.2	chr22:44319618-44343448:+	chr22:44310896-44323302
ULK4P3	NR_026859.1	chr15:30395934-30423951:+	chr15:30395295-30397242
CYP3A5	NR_033807.2	chr7:99245811-99277649:-	chr7:99275035-99278348
ZDHHC8	NM_001185024.1	chr22:20119363-20135530:+	chr22:20117866-20121148
SIM2	NM_009586.3	chr21:38071432-38118219:+	chr21:38070016-38075539
PAPLN	NM_173462.3	chr14:73704204-73741348:+	chr14:73703704-73705506
PDGFRL	NM_006207.2	chr8:17433941-17500642:+	chr8:17433566-17435497
ACSL1	NM_001286712.1	chr4:185676748-185729755:-	chr4:185731711-185737327
MPZL2	NM_005797.3	chr11:118124130-118135251:-	chr11:118133786-118137133
AFDN-AS1	NR_027906.1	chr6:168224569-168227476:-	chr6:168225414-168235670
AFDN	NM_001040000.2	chr6:168227670-168365793:+	chr6:168225414-168235670
OSBPL10-AS1	NR_049771.1	chr3:31745704-31763078:+	chr3:31744546-31747340
NKX3-2	NM_001189.3	chr4:13542453-13546114:-	chr4:13545567-13547398
LINC01096	NR_015450.1	chr4:13547699-13549448:-	chr4:13545567-13547398
MIR4425	NR_039623.1	chr1:25349993-25350077:+	chr1:25342515-25365720
IDUA	NM_000203.4	chr4:980784-998345:+	chr4:977807-982343
ZNF587	NM_001204817.1	chr19:58361180-58376491:+	chr19:58346496-58365621
MYH14	NM_024729.3	chr19:50706884-50813801:+	chr19:50705804-50711642
STS	NM_001320750.1	chrX:7065292-7272684:+	chrX:7060490-7069721
MIR4767	NR_039924.1	chrX:7065900-7065978:+	chrX:7060490-7069721
PUDP	NM_001135565.1	chrX:6966960-7066231:-	chrX:7060490-7069721
DNLZ	NR_073565.1	chr9:139256351-139258263:-	chr9:139256592-139261233
CXorf57	NM_001184782.1	chrX:105855159-105922673:+	chrX:105854078-105857168
ARHGAP33	NM_001172630.1	chr19:36266416-36279724:+	chr19:36265752-36267493
TMCO5B	NR_046005.1	chr15:33528676-33539756:-	chr15:33532098-33539468
RAD21L1	NM_001136566.2	chr20:1206763-1235145:+	chr20:1206037-1208052
KCCAT198	NR_131986.1	chr12:105698644-105720795:-	chr12:105703141-105731172
C12orf75	NM_001145199.1	chr12:105724413-105765296:+	chr12:105703141-105731172
ABHD17A	NM_031213.3	chr19:1876974-1885518:-	chr19:1881037-1888266
MAPK12	NM_002969.5	chr22:50691329-50700239:-	chr22:50697366-50702053
PIP5K1C	NM_012398.2	chr19:3630178-3700477:-	chr19:3697924-3701204
BNIP3	NM_004052.3	chr10:133781186-133795517:-	chr10:133790591-133796564
KIAA1549	NM_001164665.1	chr7:138516125-138666064:-	chr7:138663157-138667082
SEMA7A	NM_001146030.2	chr15:74701624-74726045:-	chr15:74723832-74727960
CDKL2	NM_001330724.1	chr4:76501703-76555724:-	chr4:76554888-76556345
PELI2	NM_021255.2	chr14:56585092-56768031:+	chr14:56584249-56588591
SDC3	NM_014654.3	chr1:31342312-31381480:-	chr1:31381673-31387847
CLEC11A	NM_002975.2	chr19:51226604-51228981:+	chr19:51223028-51232389
LRRK2	NM_198578.3	chr12:40618812-40763087:+	chr12:40617487-40621759
PRSS30P	NR_026864.2	chr16:2889573-2892752:-	chr16:2894407-2898867
LINC01876	NR_110250.2	chr2:156877046-157111443:-	chr2:157110266-157112153
MIR4796	NR_039959.1	chr3:114462291-114462372:-	chr3:114461474-114468582
MIR4254	NR_036216.1	chr1:32224260-32224336:-	chr1:32225533-32229382
ADGRB2	NM_001294335.1	chr1:32192705-32229664:-	chr1:32225533-32229382
ADAMTS7	NM_014272.4	chr15:79051544-79103805:-	chr15:79102466-79104751
ASB13	NR_037164.1	chr10:5680819-5708558:-	chr10:5706448-5708992
SPTLC2	NM_004863.3	chr14:77972339-78083110:-	chr14:78076472-78091811
HSPA1L	NM_005527.3	chr6_cox_hap2:3286976-3292415:-	chr6_cox_hap2:3288990-3293938
HSPA1A	NM_005345.5	chr6_cox_hap2:3292870-3295299:+	chr6_cox_hap2:3288990-3293938
ZCCHC18	NR_026694.2	chrX:103357216-103360538:+	chrX:103356449-103358118
TSNARE1	NM_145003.4	chr8:143293440-143484610:-	chr8:143480075-143485826
LOC101927460	NR_109887.1	chr5:124828953-124937920:+	chr5:124810548-124838688
DHDH	NM_014475.3	chr19:49436938-49448226:+	chr19:49435439-49437290
CBX2	NM_032647.3	chr17:77751976-77756331:+	chr17:77748622-77754149
CDT1	NM_030928.3	chr16:88870185-88875666:+	chr16:88855332-88872867
GPR1	NM_001261454.1	chr2:207040039-207078352:-	chr2:207075792-207079274
LOC105370792	NR_135681.1	chr15:42184974-42191013:+	chr15:42183508-42188098
SPTBN5	NM_016642.3	chr15:42140343-42186275:-	chr15:42183508-42188098
ARHGEF10L	NR_137288.1	chr1:17866329-18024364:+	chr1:17861682-17868190
LOC100294145	NR_037178.1	chr6_apd_hap1:4148913-4158503:+	chr6_apd_hap1:4148245-4149994
MATN2	NM_001317748.1	chr8:98881248-99048948:+	chr8:98880877-98882470
GMPR	NM_006877.3	chr6:16238810-16295780:+	chr6:16235531-16246461
LINC01819	NR_110585.1	chr2:43254991-43266682:-	chr2:43263702-43272454
NRARP	NM_001004354.2	chr9:140194082-140196703:-	chr9:140186198-140212435
ELOF1	NM_032377.3	chr19:11663857-11670051:-	chr19:11668787-11681854
EVL	NM_001330221.1	chr14:100437811-100610573:+	chr14:100437245-100439684
LOC284632	NR_027087.2	chr1:24526729-24538180:+	chr1:24528073-24531009
FBXO6	NM_018438.5	chr1:11724149-11734411:+	chr1:11723848-11725250
D2HGDH	NM_001287249.1	chr2:242673993-242708231:+	chr2:242669267-242675904
GATA6-AS1	NR_102763.1	chr18:19746858-19748929:-	chr18:19745863-19761549
GATA6	NM_005257.5	chr18:19749397-19782491:+	chr18:19745863-19761549
MIR4259	NR_130464.1	chr1:159869768-159869869:-	chr1:159868860-159872265
CFAP45	NM_012337.2	chr1:159842153-159869906:-	chr1:159868860-159872265
LYPD6	NM_001195685.1	chr2:150186498-150330662:+	chr2:150185705-150188130
CDC42BPB	NM_006035.3	chr14:103398715-103523742:-	chr14:103521148-103529660
HCG9	NR_028032.1	chr6_cox_hap2:1454594-1457884:+	chr6_cox_hap2:1455775-1457265
ERN1	NM_001433.3	chr17:62120389-62207502:-	chr17:62194740-62210498
SEMA3F	NM_001318800.1	chr3:50196451-50226508:+	chr3:50197619-50212830
MIR566	NR_030291.1	chr3:50210758-50210852:+	chr3:50197619-50212830
VTRNA1-3	NR_026705.1	chr5:140105743-140105831:+	chr5:140104661-140106539
STRA6	NM_001199042.1	chr15:74471806-74495220:-	chr15:74487824-74505453
HAP1	NM_001079870.1	chr17:39878890-39890898:-	chr17:39890213-39891412
LINC01672	NR_104620.1	chr1:6784804-6790072:+	chr1:6783481-6786276
ADAM12	NM_003474.5	chr10:127700953-128077127:-	chr10:128070595-128090749
MIR4714	NR_039864.1	chr15:99327654-99327731:+	chr15:99327035-99340875
NID2	NM_007361.3	chr14:52471519-52535946:-	chr14:52534361-52549968
ARMC7	NM_001304272.1	chr17:73106046-73110925:+	chr17:73099289-73107741
TRPS1	NM_001282902.2	chr8:116420723-116680239:-	chr8:116656540-116686817
